Release,File,Download,Category,Type
3.0,Resting-State Functional Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Resting-State_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
3.0,Structural Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Structural_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
3.0,Task-Based Functional Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Task-Based_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
3.0,PrePostScan Questionnaires,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_PrePostScan_Questionnaires.pdf,Imaging,Release note
3.0,Other Imaging Instruments,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Other_Imaging_Instruments.pdf,Imaging,Release note
3.0,Supplementary Imaging Tables,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_Supplementary_Imaging_Tables.pdf,Imaging,Accessory file
3.0,Mapping File,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/3.0/NDA_3.0_mapping.csv,Imaging,Accessory file
2.0,Release Notes ABCD README FIRST,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0.1_Release_Notes_ABCD_README_FIRST.pdf,Readme,Release note
2.0,Culture & Environment,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0.1_Culture_and_Environment.pdf,Non-imaging,Release note
2.0,Genetics,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0.1_Genetics.pdf,Non-imaging,Release note
2.0,Mental Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0.1_Mental_Health.pdf,Non-imaging,Release note
2.0,Mobile Tech,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_Mobile_Tech.pdf,Non-imaging,Release note
2.0,Neurocognition,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_Neurocognition.pdf,Non-imaging,Release note
2.0,Physical Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_Physical_Health.pdf,Non-imaging,Release note
2.0,Substance Use,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_Substance_Use.pdf,Non-imaging,Release note
2.0,Other Non-Imaging Instruments,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_Other_Non-Imaging_Instruments.pdf,Non-imaging,Release note
2.0,Release Notes Imaging Instruments,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0.1_Release_Notes_Imaging_Instruments.pdf,Imaging,Release note
2.0,Behavioral Performance During task-fMRI,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_Behavioral_Performance_During_task-fMRI.pdf,Imaging,Release note
2.0,Diffusion Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0.1_Diffusion_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
2.0,MRI Quality Control,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_MRI_Quality_Control.pdf,Imaging,Release note
2.0,Resting-State Functional Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_Resting-State_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
2.0,Structural Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_Structural_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
2.0,Task-Based Functional Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0.1_Task-Based_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
2.0,PrePostScan Questionnaires,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_PrePostScan_Questionnaires.pdf,Imaging,Release note
2.0,Other Imaging Instruments,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_Other_Imaging_Instruments.pdf,Imaging,Release note
2.0,Supplementary Imaging Tables,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0_Supplementary_Imaging_Tables.pdf,Imaging,Accessory file
2.0,Mapping File,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/2.0/NDA_2.0.1_mapping.csv,Imaging,Accessory file
1.1,Release Notes,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Release_Notes_ABCD_README_FIRST.pdf,Readme,Release note
1.1,Biospecimens,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Biospecimens.pdf,Non-imaging,Release note
1.1,Culture and Environment,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Culture_and_Environment.pdf,Non-imaging,Release note
1.1,Neurocognition,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Neurocognition.pdf,Non-imaging,Release note
1.1,Physical and Mental Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Physical_and_Mental_Health.pdf,Non-imaging,Release note
1.1,Substance Use,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_MRI_Quality_Control.pdf,Non-imaging,Release note
1.1,Other Non-Imaging Instruments,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Substance_Use.pdf,Non-imaging,Release note
1.1,Release Notes Imaging Instruments,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Release_Notes_Imaging_Instruments.pdf,Imaging,Release note
1.1,Behavioral Performance During task-fMRI,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Behavioral_Performance_During_task-fMRI.pdf,Imaging,Release note
1.1,Diffusion Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Diffusion_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
1.1,MRI Quality Control,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_MRI_Quality_Control.pdf,Imaging,Release note
1.1,Resting-State Functional Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Resting-State_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
1.1,Structural Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Structural_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
1.1,Task-Based Functional Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Task-Based_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
1.1,PrePostScan Questionnaires,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_PrePostScan_Questionnaires.pdf,Imaging,Release note
1.1,Other Imaging Instruments,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Other_Imaging_Instruments.pdf,Imaging,Release note
1.1,Supplementary Imaging Tables,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_Supplementary_Imaging_Tables.pdf,Imaging,Accessory file
1.1,Mapping File,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/1.1/NDA_1.1_mapping.csv,Imaging,Accessory file
