name,name_nda (previously used),name_nda (correct),label (correct)
mr_y_rsfmri__corr__gpnet__aseg__vis__ab__rh_mean,rsfmri_cor_ngd_vs_scs_bs,rsfmri_cor_ngd_vs_scs_aarh,Average correlation between Gordon network: visual & Subcortical ROI: accumbens area (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__ag__rh_mean,rsfmri_cor_ngd_vta_scs_thprh,rsfmri_cor_ngd_vs_scs_agrh,Average correlation between Gordon network: visual & Subcortical ROI: amygdala (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__cbc__rh_mean,rsfmri_cor_ngd_rst_scs_vtdclh,rsfmri_cor_ngd_vs_scs_crcxrh,Average correlation between Gordon network: visual & Subcortical ROI: cerebellum cortex (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__cd__rh_mean,rsfmri_cor_ngd_smh_scs_agrh,rsfmri_cor_ngd_vs_scs_cderh,Average correlation between Gordon network: visual & Subcortical ROI: caudate (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__hc__rh_mean,rsfmri_cor_ngd_sa_scs_aarh,rsfmri_cor_ngd_vs_scs_hprh,Average correlation between Gordon network: visual & Subcortical ROI: hippocampus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__pl__rh_mean,rsfmri_cor_ngd_sa_scs_pllh,rsfmri_cor_ngd_vs_scs_plrh,Average correlation between Gordon network: visual & Subcortical ROI: pallidum (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__pt__rh_mean,rsfmri_cor_ngd_smm_scs_crcxrh,rsfmri_cor_ngd_vs_scs_ptrh,Average correlation between Gordon network: visual & Subcortical ROI: putamen (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__th__rh_mean,rsfmri_cor_ngd_smh_scs_ptlh,rsfmri_cor_ngd_vs_scs_thprh,Average correlation between Gordon network: visual & Subcortical ROI: thalamus (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__vdc__rh_mean,rsfmri_cor_ngd_vs_scs_vtdcrh,rsfmri_cor_ngd_vs_scs_vtdcrh,Average correlation between Gordon network: visual & Subcortical ROI: ventral diencephalon (right hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__bs_mean,rsfmri_cor_ngd_df_scs_aalh,rsfmri_cor_ngd_au_scs_bs,Average correlation between Gordon network: auditory & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__cio__bs_mean,rsfmri_cor_ngd_df_scs_vtdclh,rsfmri_cor_ngd_cerc_scs_bs,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__cip__bs_mean,rsfmri_cor_ngd_df_scs_crcxrh,rsfmri_cor_ngd_copa_scs_bs,Average correlation between Gordon network: cingulo-parietal & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__def__bs_mean,rsfmri_cor_ngd_df_scs_thprh,rsfmri_cor_ngd_df_scs_bs,Average correlation between Gordon network: default & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__doa__bs_mean,rsfmri_cor_ngd_df_scs_cderh,rsfmri_cor_ngd_dsa_scs_bs,Average correlation between Gordon network: dorsal attention & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__frp__bs_mean,rsfmri_cor_ngd_df_scs_ptrh,rsfmri_cor_ngd_fopa_scs_bs,Average correlation between Gordon network: fronto-parietal & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__non__bs_mean,rsfmri_cor_ngd_df_scs_plrh,rsfmri_cor_ngd_none_scs_bs,Average correlation between Gordon network: none & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__ret__bs_mean,rsfmri_cor_ngd_df_scs_hprh,rsfmri_cor_ngd_rst_scs_bs,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__sal__bs_mean,rsfmri_cor_ngd_df_scs_vtdcrh,rsfmri_cor_ngd_sa_scs_bs,Average correlation between Gordon network: salience & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__smh__bs_mean,rsfmri_cor_ngd_df_scs_agrh,rsfmri_cor_ngd_smh_scs_bs,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__smm__bs_mean,rsfmri_cor_ngd_df_scs_aarh,rsfmri_cor_ngd_smm_scs_bs,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__vea__bs_mean,rsfmri_cor_ngd_dsa_scs_crcxlh,rsfmri_cor_ngd_vta_scs_bs,Average correlation between Gordon network: ventral attention & Subcortical ROI: brain stem
mr_y_rsfmri__corr__gpnet__aseg__vis__bs_mean,rsfmri_cor_ngd_dsa_scs_thplh,rsfmri_cor_ngd_vs_scs_bs,Average correlation between Gordon network: visual & Subcortical ROI: brain stem
