name,name_nda (previously used),name_nda (correct),label (correct)
mr_y_rsfmri__corr__gpnet__aseg__ret__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_agrh,rsfmri_cor_ngd_rst_scs_aalh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_ptlh,rsfmri_cor_ngd_rst_scs_aglh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__cbc__lh_mean,rsfmri_cor_ngd_au_scs_aglh,rsfmri_cor_ngd_rst_scs_crcxlh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_plrh,rsfmri_cor_ngd_rst_scs_cdelh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_vtdclh,rsfmri_cor_ngd_rst_scs_hplh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__pl__lh_mean,rsfmri_cor_ngd_df_scs_cdelh,rsfmri_cor_ngd_rst_scs_pllh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__pt__lh_mean,rsfmri_cor_ngd_copa_scs_aalh,rsfmri_cor_ngd_rst_scs_ptlh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__th__lh_mean,rsfmri_cor_ngd_cerc_scs_thplh,rsfmri_cor_ngd_rst_scs_thplh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__ret__vdc__lh_mean,rsfmri_cor_ngd_none_scs_crcxrh,rsfmri_cor_ngd_rst_scs_vtdclh,Average correlation between Gordon network: retrosplenial temporal & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__ab__lh_mean,rsfmri_cor_ngd_none_scs_crcxlh,rsfmri_cor_ngd_sa_scs_aalh,Average correlation between Gordon network: salience & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_hplh,rsfmri_cor_ngd_sa_scs_aglh,Average correlation between Gordon network: salience & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__cbc__lh_mean,rsfmri_cor_ngd_au_scs_crcxrh,rsfmri_cor_ngd_sa_scs_crcxlh,Average correlation between Gordon network: salience & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_aarh,rsfmri_cor_ngd_sa_scs_cdelh,Average correlation between Gordon network: salience & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_cderh,rsfmri_cor_ngd_sa_scs_hplh,Average correlation between Gordon network: salience & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__pl__lh_mean,rsfmri_cor_ngd_df_scs_bs,rsfmri_cor_ngd_sa_scs_pllh,Average correlation between Gordon network: salience & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__pt__lh_mean,rsfmri_cor_ngd_copa_scs_thprh,rsfmri_cor_ngd_sa_scs_ptlh,Average correlation between Gordon network: salience & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__th__lh_mean,rsfmri_cor_ngd_cerc_scs_pllh,rsfmri_cor_ngd_sa_scs_thplh,Average correlation between Gordon network: salience & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__sal__vdc__lh_mean,rsfmri_cor_ngd_none_scs_ptrh,rsfmri_cor_ngd_sa_scs_vtdclh,Average correlation between Gordon network: salience & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_aarh,rsfmri_cor_ngd_smh_scs_aalh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_pllh,rsfmri_cor_ngd_smh_scs_aglh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__cbc__lh_mean,rsfmri_cor_ngd_au_scs_aalh,rsfmri_cor_ngd_smh_scs_crcxlh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_hprh,rsfmri_cor_ngd_smh_scs_cdelh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_crcxrh,rsfmri_cor_ngd_smh_scs_hplh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__pl__lh_mean,rsfmri_cor_ngd_df_scs_ptlh,rsfmri_cor_ngd_smh_scs_pllh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__pt__lh_mean,rsfmri_cor_ngd_copa_scs_vtdclh,rsfmri_cor_ngd_smh_scs_ptlh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__th__lh_mean,rsfmri_cor_ngd_cerc_scs_cdelh,rsfmri_cor_ngd_smh_scs_thplh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smh__vdc__lh_mean,rsfmri_cor_ngd_none_scs_thprh,rsfmri_cor_ngd_smh_scs_vtdclh,Average correlation between Gordon network: sensorimotor hand & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_vtdcrh,rsfmri_cor_ngd_smm_scs_aalh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_bs,rsfmri_cor_ngd_smm_scs_aglh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__cbc__lh_mean,rsfmri_cor_ngd_au_scs_vtdclh,rsfmri_cor_ngd_smm_scs_crcxlh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_agrh,rsfmri_cor_ngd_smm_scs_cdelh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_thprh,rsfmri_cor_ngd_smm_scs_hplh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__pl__lh_mean,rsfmri_cor_ngd_df_scs_pllh,rsfmri_cor_ngd_smm_scs_pllh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__pt__lh_mean,rsfmri_cor_ngd_copa_scs_crcxrh,rsfmri_cor_ngd_smm_scs_ptlh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__th__lh_mean,rsfmri_cor_ngd_cerc_scs_ptlh,rsfmri_cor_ngd_smm_scs_thplh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__smm__vdc__lh_mean,rsfmri_cor_ngd_none_scs_cderh,rsfmri_cor_ngd_smm_scs_vtdclh,Average correlation between Gordon network: sensorimotor mouth & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__ab__lh_mean,rsfmri_cor_ngd_none_scs_thplh,rsfmri_cor_ngd_vta_scs_aalh,Average correlation between Gordon network: ventral attention & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_aglh,rsfmri_cor_ngd_vta_scs_aglh,Average correlation between Gordon network: ventral attention & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__cbc__lh_mean,rsfmri_cor_ngd_au_scs_thprh,rsfmri_cor_ngd_vta_scs_crcxlh,Average correlation between Gordon network: ventral attention & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_vtdcrh,rsfmri_cor_ngd_vta_scs_cdelh,Average correlation between Gordon network: ventral attention & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_ptrh,rsfmri_cor_ngd_vta_scs_hplh,Average correlation between Gordon network: ventral attention & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__pl__lh_mean,rsfmri_cor_ngd_df_scs_hplh,rsfmri_cor_ngd_vta_scs_pllh,Average correlation between Gordon network: ventral attention & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__pt__lh_mean,rsfmri_cor_ngd_copa_scs_cderh,rsfmri_cor_ngd_vta_scs_ptlh,Average correlation between Gordon network: ventral attention & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__th__lh_mean,rsfmri_cor_ngd_cerc_scs_bs,rsfmri_cor_ngd_vta_scs_thplh,Average correlation between Gordon network: ventral attention & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vea__vdc__lh_mean,rsfmri_cor_ngd_none_scs_plrh,rsfmri_cor_ngd_vta_scs_vtdclh,Average correlation between Gordon network: ventral attention & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__ab__lh_mean,rsfmri_cor_ngd_none_scs_cdelh,rsfmri_cor_ngd_vs_scs_aalh,Average correlation between Gordon network: visual & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__ag__lh_mean,rsfmri_cor_ngd_fopa_scs_aalh,rsfmri_cor_ngd_vs_scs_aglh,Average correlation between Gordon network: visual & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__cbc__lh_mean,rsfmri_cor_ngd_au_scs_cderh,rsfmri_cor_ngd_vs_scs_crcxlh,Average correlation between Gordon network: visual & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__vis__cd__lh_mean,rsfmri_cor_ngd_copa_scs_crcxlh,rsfmri_cor_ngd_vs_scs_cdelh,Average correlation between Gordon network: visual & Subcortical ROI: caudate (left hemisphere)
