table_name,name,name_nda,value_old,value_new,label
sdev_y_vict,sdev_y_vict_021__26,socialdev_cvict_w4_o,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_021__26__l,socialdev_cvict_w4_o_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_021__26__l,socialdev_cvict_w4_o_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_021__27,socialdev_cvict_w4_p,98,999,I don't know
sdev_y_vict,sdev_y_vict_021__27,socialdev_cvict_w4_p,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_021__27__l,socialdev_cvict_w4_p_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_021__27__l,socialdev_cvict_w4_p_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_021__l,socialdev_cvict_w4_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_021__l,socialdev_cvict_w4_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_022,socialdev_cvict_w5,98,999,I don't know
sdev_y_vict,sdev_y_vict_022,socialdev_cvict_w5,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_022__03,socialdev_cvict_w5_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_022__03,socialdev_cvict_w5_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_022__05,socialdev_cvict_w5_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_022__05,socialdev_cvict_w5_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_022__05__l,socialdev_cvict_w5_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_022__05__l,socialdev_cvict_w5_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_022__27,socialdev_cvict_w5_m,98,999,I don't know
sdev_y_vict,sdev_y_vict_022__27,socialdev_cvict_w5_m,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_022__27__l,socialdev_cvict_w5_m_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_022__27__l,socialdev_cvict_w5_m_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_022__l,socialdev_cvict_w5_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_022__l,socialdev_cvict_w5_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_023,socialdev_cvict_w6,98,999,I don't know
sdev_y_vict,sdev_y_vict_023,socialdev_cvict_w6,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_023__03,socialdev_cvict_w6_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_023__03,socialdev_cvict_w6_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_023__05,socialdev_cvict_w6_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_023__05,socialdev_cvict_w6_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_023__05__l,socialdev_cvict_w6_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_023__05__l,socialdev_cvict_w6_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_023__28,socialdev_cvict_w6_o,98,999,I don't know
sdev_y_vict,sdev_y_vict_023__28,socialdev_cvict_w6_o,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_023__28__l,socialdev_cvict_w6_o_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_023__28__l,socialdev_cvict_w6_o_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_023__l,socialdev_cvict_w6_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_023__l,socialdev_cvict_w6_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_024,socialdev_cvict_w8,98,999,I don't know
sdev_y_vict,sdev_y_vict_024,socialdev_cvict_w8,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_024__03,socialdev_cvict_w8_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_024__03,socialdev_cvict_w8_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_024__05,socialdev_cvict_w8_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_024__05,socialdev_cvict_w8_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_024__05__l,socialdev_cvict_w8_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_024__05__l,socialdev_cvict_w8_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_024__29,socialdev_cvict_w8_g,98,999,I don't know
sdev_y_vict,sdev_y_vict_024__29,socialdev_cvict_w8_g,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_024__29__l,socialdev_cvict_w8_g_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_024__29__l,socialdev_cvict_w8_g_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_024__l,socialdev_cvict_w8_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_024__l,socialdev_cvict_w8_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_025,socialdev_cvict_w9,98,999,I don't know
sdev_y_vict,sdev_y_vict_025,socialdev_cvict_w9,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_025__03,socialdev_cvict_w9_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_025__03,socialdev_cvict_w9_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_025__05,socialdev_cvict_w9_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_025__05,socialdev_cvict_w9_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_025__05__l,socialdev_cvict_w9_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_025__05__l,socialdev_cvict_w9_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_025__30,socialdev_cvict_w9_g,98,999,I don't know
sdev_y_vict,sdev_y_vict_025__30,socialdev_cvict_w9_g,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_025__30__l,socialdev_cvict_w9_g_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_025__30__l,socialdev_cvict_w9_g_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_025__l,socialdev_cvict_w9_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_025__l,socialdev_cvict_w9_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026,socialdev_cvict_g1,98,999,I don't know
