name,ksads1_id,ksads2_id
mh_p/y_ksads__odd__screen__past_002__01,459,
mh_p/y_ksads__odd__screen__past_002__01__mo,459,
mh_p/y_ksads__odd__screen__past_002__01__yr,459,
mh_p/y_ksads__odd__screen__pres_003a__mo,460,315
mh_p/y_ksads__odd__screen__pres_003a__yr,460,315
mh_p/y_ksads__odd__screen__pres_003b__mo,461,316
mh_p/y_ksads__odd__screen__pres_003b__yr,461,316
mh_p/y_ksads__odd__screen__pres_003c__mo,462,317
mh_p/y_ksads__odd__screen__pres_003c__yr,462,317
mh_p/y_ksads__odd__screen__past_003a__mo,463,
mh_p/y_ksads__odd__screen__past_003a__yr,463,
mh_p/y_ksads__odd__screen__past_003b__mo,464,
mh_p/y_ksads__odd__screen__past_003b__yr,464,
mh_p/y_ksads__odd__screen__past_003c__mo,465,
mh_p/y_ksads__odd__screen__past_003c__yr,465,
mh_p/y_ksads__cond__screen__pres_001,466,318
mh_p/y_ksads__cond__screen__past_001,467,319
mh_p/y_ksads__cond__screen__past_001__01,468,
mh_p/y_ksads__cond__screen__pres_002,469,320
mh_p/y_ksads__cond__screen__past_002,470,321
mh_p/y_ksads__cond__screen__past_002__02,471,
mh_p/y_ksads__cond__screen__past_002__01,472,322
mh_p/y_ksads__cond__screen__pres_003,473,323
mh_p/y_ksads__cond__screen__pres_003__01,474,324
mh_p/y_ksads__cond__screen__past_003,475,325
mh_p/y_ksads__cond__screen__past_003__02,476,
mh_p/y_ksads__cond__screen__past_003__01,477,326
mh_p/y_ksads__cond__screen__pres_004,478,327
mh_p/y_ksads__cond__screen__past_004,479,328
mh_p/y_ksads__cond__screen__past_004__01,480,
mh_p/y_ksads__cond__screen__pres_005,481,329
mh_p/y_ksads__cond__screen__past_005,482,330
mh_p/y_ksads__cond__screen__past_005__01,483,
mh_p/y_ksads__cond__screen__pres_006a__mo,484,331
mh_p/y_ksads__cond__screen__pres_006b__mo,510,357
mh_p/y_ksads__cond__screen__pres_006c__mo,511,358
mh_p/y_ksads__cond__screen__pres_006d__mo,512,359
mh_p/y_ksads__cond__screen__pres_006e__mo,513,360
mh_p/y_ksads__cond__screen__pres_006f__mo,514,361
mh_p/y_ksads__cond__screen__pres_006g__mo,485,332
mh_p/y_ksads__cond__screen__pres_006h__mo,486,333
mh_p/y_ksads__cond__screen__pres_006i__mo,487,334
mh_p/y_ksads__cond__screen__pres_006j__mo,488,335
mh_p/y_ksads__cond__screen__pres_006k__mo,489,336
mh_p/y_ksads__cond__screen__pres_006l__mo,490,337
mh_p/y_ksads__cond__screen__pres_006m__mo,491,338
mh_p/y_ksads__cond__screen__pres_006n__mo,492,339
mh_p/y_ksads__cond__screen__pres_006o__mo,493,340
mh_p/y_ksads__cond__screen__pres_006p__mo,494,341
mh_p/y_ksads__cond__screen__pres_006q__mo,495,342
mh_p/y_ksads__cond__screen__pres_006r__mo,496,343
mh_p/y_ksads__cond__screen__pres_006s__mo,497,344
mh_p/y_ksads__cond__screen__pres_006t__mo,498,345
mh_p/y_ksads__cond__screen__pres_006u__mo,499,346
mh_p/y_ksads__cond__screen__pres_006v__mo,500,347
mh_p/y_ksads__cond__screen__pres_006w__mo,501,348
mh_p/y_ksads__cond__screen__pres_006x__mo,502,349
mh_p/y_ksads__cond__screen__pres_006y__mo,503,350
mh_p/y_ksads__cond__screen__pres_006z__mo,504,351
mh_p/y_ksads__cond__screen__pres_006aa__mo,505,352
mh_p/y_ksads__cond__screen__pres_006ab__mo,506,353
mh_p/y_ksads__cond__screen__pres_006ac__mo,507,354
mh_p/y_ksads__cond__screen__pres_006ad__mo,508,355
mh_p/y_ksads__cond__screen__pres_006ae__mo,509,356
mh_p/y_ksads__cond__screen__past_006a__mo,515,
mh_p/y_ksads__cond__screen__past_006a__yr,515,
mh_p/y_ksads__cond__screen__past_006b__mo,541,
mh_p/y_ksads__cond__screen__past_006b__yr,541,
mh_p/y_ksads__cond__screen__past_006c__mo,542,
mh_p/y_ksads__cond__screen__past_006c__yr,542,
mh_p/y_ksads__cond__screen__past_006d__mo,543,
mh_p/y_ksads__cond__screen__past_006d__yr,543,
mh_p/y_ksads__cond__screen__past_006e__mo,544,
mh_p/y_ksads__cond__screen__past_006e__yr,544,
mh_p/y_ksads__cond__screen__past_006f__mo,545,
