name_filebased,label,type_var,type_data,type_level
eb_ecd_diff_impact_2019_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2019 and 2024 for econonomically disadvantaged students",summary score,double,ratio
eb_nec_diff_impact_2019_2024,"Difference in Administrative District Math-RLA Difference, Math & RLA, EB, CS between 2019 and 2024 for not economically disadvantaged",summary score,double,ratio
all_center_grade_2019,Grade Used for Centering in Pooling for all students in 2019,summary score,integer,ratio
ecd_center_grade_2019,Grade Used for Centering in Pooling for econonomically disadvantaged students in 2019,summary score,integer,ratio
fem_center_grade_2019,Grade Used for Centering in Pooling for female students in 2019,summary score,integer,ratio
mal_center_grade_2019,Grade Used for Centering in Pooling for male students in 2019,summary score,integer,ratio
nec_center_grade_2019,Grade Used for Centering in Pooling for not economically disadvantaged students in 2019,summary score,integer,ratio
all_center_grade_2022,Grade Used for Centering in Pooling for all students in 2022,summary score,integer,ratio
ecd_center_grade_2022,Grade Used for Centering in Pooling for econonomically disadvantaged students in 2022,summary score,integer,ratio
fem_center_grade_2022,Grade Used for Centering in Pooling for female students in 2022,summary score,integer,ratio
mal_center_grade_2022,Grade Used for Centering in Pooling for male students in 2022,summary score,integer,ratio
nec_center_grade_2022,Grade Used for Centering in Pooling for not economically disadvantaged students in 2022,summary score,integer,ratio
all_center_grade_2023,Grade Used for Centering in Pooling for all students in 2023,summary score,integer,ratio
ecd_center_grade_2023,Grade Used for Centering in Pooling for econonomically disadvantaged students in 2023,summary score,integer,ratio
fem_center_grade_2023,Grade Used for Centering in Pooling for female students in 2023,summary score,integer,ratio
mal_center_grade_2023,Grade Used for Centering in Pooling for male students in 2023,summary score,integer,ratio
nec_center_grade_2023,Grade Used for Centering in Pooling for not economically disadvantaged students in 2023,summary score,integer,ratio
all_center_grade_2024,Grade Used for Centering in Pooling for all students in 2024,summary score,integer,ratio
ecd_center_grade_2024,Grade Used for Centering in Pooling for econonomically disadvantaged students in 2024,summary score,integer,ratio
fem_center_grade_2024,Grade Used for Centering in Pooling for female students in 2024,summary score,integer,ratio
mal_center_grade_2024,Grade Used for Centering in Pooling for male students in 2024,summary score,integer,ratio
